id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
38374,19.99,12093,4.4,246,110,11,68,Business,Business Law,English
39862,199.99,12,4.5,1,0,13,77,Office Productivity,Microsoft,English
39115,0,206680,4.253521,6393,927,19,268,Development,Programming Languages,English
39292,49.99,44734,4.4322915,3559,822,128,593,Office Productivity,Microsoft,English
39661,174.99,1257,4.1,200,73,59,,Office Productivity,Other Office Productivity,English
39718,94.99,2187,4.4375,307,94,94,567,Business,Communication,English
39439,169.99,84,3.5625,,2,42,543,Development,Mobile Development,Turkish
39551,189.99,12301,4.4117646,1045,162,72,681,IT & Software,Network & Security,English
40039,189.99,2440,4.5,443,108,118,936,Finance & Accounting,Investing & Trading,English
39922,19.99,416,4.45,59,24,17,,Photography & Video,Digital Photography,Spanish
40017,0,97596,4.2391305,3682,1002,9,65,Design,Web Design,English
40013,19.99,4038,4.25,691,94,18,46,Photography & Video,Digital Photography,English
40050,19.99,731,3.55,11,3,27,55,Design,Design Tools,English
39952,74.99,42073,3.95,121,28,58,,Office Productivity,Microsoft,English
40311,49.99,625,4,82,22,83,330,Teaching & Academics,Language Learning,English
40362,19.99,641,3.35,11,4,34,309,Marketing,Search Engine Optimization,English
40568,19.99,533,3.7,55,28,34,,Design,Web Design,English
40035,19.99,121,4.4,22,7,34,197,Design,Design Tools,Spanish
40465,19.99,755,4.15,75,14,121,864,Teaching & Academics,Engineering,English
40429,49.99,794,4.3,70,28,24,119,Photography & Video,Portrait Photography,English
40495,189.99,1516,4.2,119,45,40,,Music,Instruments,English
40393,44.99,3123,4.254902,593,167,11,176,Design,Interior Design,English
40801,19.99,587,3.875,8,4,8,32,Photography & Video,Digital Photography,English
40636,19.99,5713,4.65,449,134,82,,Office Productivity,Microsoft,English
40730,49.99,3063,4.7,760,181,23,98,Health & Fitness,Sports,English
40525,19.99,898,3.8,18,9,16,,IT & Software,IT Certifications,English
40881,79.99,6332,4.55,127,43,45,,Business,Communication,English
41016,199.99,2799,4.15,306,65,45,275,Business,Project Management,English
40626,19.99,277,4.65,25,9,20,294,Teaching & Academics,Teacher Training,English
